05/25/24 19:31:33: Actions.txt not found. Starting with an empty actions map.
05/25/24 19:31:47: Commands: disable_heartbeat, show_wpm, goto_planet(, save_game, 
05/25/24 19:31:47: list_actions, jump_planet(, save_macros, toggle_input_display, 
05/25/24 19:31:47: return_controller, set_variable(, show_gamepad_mapping, 
05/25/24 19:31:47: list_variables, list_clients, execute_action(, game_end(, 
05/25/24 19:31:47: show_variable(, save_actions, enable_heartbeat, toggle_debug, 
05/25/24 19:31:47: chat_bubble(, list_commands, set_my_permission(, toggle_server, 
05/25/24 19:31:47: toggle_log_debug, level_up(, add_action(, show_lines(
05/25/24 19:32:03: Connected gamepad: PS5 Controller
05/25/24 19:32:18: Gamepad input display is now enabled.
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4130
05/25/24 19:32:18: Gamepad button pressed: 4128
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4130
05/25/24 19:32:18: Gamepad button pressed: 4129
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4161
05/25/24 19:32:18: Gamepad button pressed: 4163
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:18: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4132
05/25/24 19:32:19: Gamepad button pressed: 4129
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
