05/26/24 23:34:44: Actions.txt not found. Starting with an empty actions map.
05/26/24 23:36:51: No actions found.
05/26/24 23:36:54: Commands: add_action(, chat_bubble(, disable_heartbeat, 
05/26/24 23:36:54: enable_heartbeat, execute_action(, game_end(, goto_planet(, 
05/26/24 23:36:54: jump_planet(, level_up(, list_actions, list_clients, list_commands, 
05/26/24 23:36:54: list_variables, return_controller, save_actions, save_game, 
05/26/24 23:36:54: save_macros, set_my_permission(, set_variable(, show_gamepad_mapping, 
05/26/24 23:36:54: show_lines(, show_variable(, show_wpm, toggle_debug, 
05/26/24 23:36:54: toggle_input_display, toggle_log_debug, toggle_server
05/26/24 23:37:22: No gamepad detected.
05/26/24 23:37:43: Connected gamepad: PS5 Controller
05/26/24 23:38:31: Gamepad input display is now enabled.
05/26/24 23:39:24: Gamepad button pressed: 32786
05/26/24 23:39:26: Gamepad button pressed: 32782
05/26/24 23:39:27: Gamepad button pressed: 32784
05/26/24 23:39:27: Gamepad button pressed: 32783
05/26/24 23:39:28: Gamepad button pressed: 32781
05/26/24 23:39:28: Gamepad button pressed: 32782
05/26/24 23:39:29: Gamepad button pressed: 32770
05/26/24 23:39:29: Gamepad button pressed: 32772
05/26/24 23:39:29: Gamepad button pressed: 32771
05/26/24 23:39:30: Gamepad button pressed: 32769
05/26/24 23:39:30: Gamepad button pressed: 32770
05/26/24 23:39:33: Gamepad button pressed: 32769
05/26/24 23:39:34: Gamepad button pressed: 32771
05/26/24 23:39:34: Gamepad button pressed: 32772
05/26/24 23:39:34: Gamepad button pressed: 32770
05/26/24 23:39:35: Gamepad button pressed: 32769
05/26/24 23:39:38: Gamepad button pressed: 32785
05/26/24 23:39:43: Gamepad button pressed: 32784
05/26/24 23:39:49: Gamepad button pressed: 32770
05/26/24 23:39:50: Gamepad button pressed: 32771
05/26/24 23:39:50: Gamepad button pressed: 32769
05/26/24 23:39:50: Gamepad button pressed: 32770
05/26/24 23:39:50: Gamepad button pressed: 32773
05/26/24 23:39:50: Gamepad button pressed: 32772
05/26/24 23:39:51: Gamepad button pressed: 32770
05/26/24 23:39:51: Gamepad button pressed: 32775
05/26/24 23:39:51: Gamepad button pressed: 32770
05/26/24 23:39:52: Gamepad button pressed: 32769
05/26/24 23:39:52: Gamepad button pressed: 32776
05/26/24 23:39:52: Gamepad button pressed: 32770
05/26/24 23:39:52: Gamepad button pressed: 32775
05/26/24 23:39:52: Gamepad button pressed: 32769
05/26/24 23:39:52: Gamepad button pressed: 32776
05/26/24 23:39:52: Gamepad button pressed: 32774
05/26/24 23:39:52: Gamepad button pressed: 32770
05/26/24 23:39:53: Gamepad button pressed: 32769
05/26/24 23:39:53: Gamepad button pressed: 32775
05/26/24 23:39:54: Gamepad button pressed: 32772
05/26/24 23:39:55: Gamepad button pressed: 32771
05/26/24 23:39:55: Gamepad button pressed: 32771
05/26/24 23:39:56: Gamepad button pressed: 32772
05/26/24 23:39:56: Gamepad button pressed: 32770
05/26/24 23:39:58: Gamepad button pressed: 32775
05/26/24 23:40:26: Gamepad button pressed: 32775
05/26/24 23:40:26: Gamepad button pressed: 32775
05/26/24 23:40:30: Gamepad button pressed: 32775
05/26/24 23:40:56: Gamepad button pressed: 32775
05/26/24 23:40:59: Gamepad button pressed: 32775
05/26/24 23:42:35: Gamepad button pressed: 32775
05/26/24 23:42:55: Gamepad button pressed: 32776
05/26/24 23:42:57: Connected gamepad: Xbox Wireless Controller
05/26/24 23:43:20: Gamepad button pressed: 32785
05/26/24 23:43:20: Gamepad button pressed: 32786
05/26/24 23:43:20: Gamepad button pressed: 32785
05/26/24 23:43:20: Gamepad button pressed: 32786
05/26/24 23:43:20: Gamepad button pressed: 32785
05/26/24 23:43:21: Gamepad button pressed: 32786
05/26/24 23:43:22: Gamepad button pressed: 32785
